Model,Threshold,Sensitivity,Specificity,Accuracy,AUC,TP,TN,FP,FN
ResNet-18,0.01,0.9974,0.594,0.8462,0.9851,389,139,95,1
ResNet-18,0.02,0.9974,0.641,0.8638,0.9851,389,150,84,1
ResNet-18,0.03,0.9974,0.6538,0.8686,0.9851,389,153,81,1
ResNet-18,0.04,0.9974,0.6709,0.875,0.9851,389,157,77,1
ResNet-18,0.05,0.9974,0.688,0.8814,0.9851,389,161,73,1
ResNet-18,0.06,0.9974,0.7137,0.891,0.9851,389,167,67,1
ResNet-18,0.07,0.9974,0.7308,0.8974,0.9851,389,171,63,1
ResNet-18,0.08,0.9974,0.7308,0.8974,0.9851,389,171,63,1
ResNet-18,0.09,0.9949,0.7479,0.9022,0.9851,388,175,59,2
ResNet-18,0.1,0.9949,0.7521,0.9038,0.9851,388,176,58,2
ResNet-18,0.11,0.9949,0.7521,0.9038,0.9851,388,176,58,2
ResNet-18,0.12,0.9949,0.7564,0.9054,0.9851,388,177,57,2
ResNet-18,0.13,0.9949,0.765,0.9087,0.9851,388,179,55,2
ResNet-18,0.14,0.9949,0.7692,0.9103,0.9851,388,180,54,2
ResNet-18,0.15,0.9949,0.7692,0.9103,0.9851,388,180,54,2
ResNet-18,0.16,0.9949,0.7692,0.9103,0.9851,388,180,54,2
ResNet-18,0.17,0.9949,0.7692,0.9103,0.9851,388,180,54,2
ResNet-18,0.18,0.9949,0.7735,0.9119,0.9851,388,181,53,2
ResNet-18,0.19,0.9949,0.7778,0.9135,0.9851,388,182,52,2
ResNet-18,0.2,0.9949,0.7778,0.9135,0.9851,388,182,52,2
ResNet-18,0.21,0.9949,0.7821,0.9151,0.9851,388,183,51,2
ResNet-18,0.22,0.9949,0.7821,0.9151,0.9851,388,183,51,2
ResNet-18,0.23,0.9949,0.7821,0.9151,0.9851,388,183,51,2
ResNet-18,0.24,0.9923,0.7821,0.9135,0.9851,387,183,51,3
ResNet-18,0.25,0.9923,0.7821,0.9135,0.9851,387,183,51,3
ResNet-18,0.26,0.9923,0.7863,0.9151,0.9851,387,184,50,3
ResNet-18,0.27,0.9923,0.7906,0.9167,0.9851,387,185,49,3
ResNet-18,0.28,0.9897,0.7949,0.9167,0.9851,386,186,48,4
ResNet-18,0.29,0.9897,0.8034,0.9199,0.9851,386,188,46,4
ResNet-18,0.3,0.9897,0.812,0.9231,0.9851,386,190,44,4
ResNet-18,0.31,0.9897,0.8248,0.9279,0.9851,386,193,41,4
ResNet-18,0.32,0.9897,0.8248,0.9279,0.9851,386,193,41,4
ResNet-18,0.33,0.9897,0.8291,0.9295,0.9851,386,194,40,4
ResNet-18,0.34,0.9897,0.8291,0.9295,0.9851,386,194,40,4
ResNet-18,0.35,0.9897,0.8291,0.9295,0.9851,386,194,40,4
ResNet-18,0.36,0.9897,0.8291,0.9295,0.9851,386,194,40,4
ResNet-18,0.37,0.9897,0.8376,0.9327,0.9851,386,196,38,4
ResNet-18,0.38,0.9897,0.8419,0.9343,0.9851,386,197,37,4
ResNet-18,0.39,0.9897,0.8419,0.9343,0.9851,386,197,37,4
ResNet-18,0.4,0.9897,0.8419,0.9343,0.9851,386,197,37,4
ResNet-18,0.41,0.9897,0.8419,0.9343,0.9851,386,197,37,4
ResNet-18,0.42,0.9897,0.8419,0.9343,0.9851,386,197,37,4
ResNet-18,0.43,0.9872,0.8419,0.9327,0.9851,385,197,37,5
ResNet-18,0.44,0.9872,0.8419,0.9327,0.9851,385,197,37,5
ResNet-18,0.45,0.9872,0.8462,0.9343,0.9851,385,198,36,5
