Filename,True_Label,True_Name,Model,Pred_Prob_Pneumonia,Pred_Label,Pred_Name,Correct,Concentration,Faithfulness_Drop,GC_GCpp_Agreement,Top_Row,Top_Col,Focus_Quadrant
IM-0001-0001.jpeg,0,NORMAL,ResNet-18,0.0001,0,NORMAL,1,0.5919,0.7312,0.8889,80,112,Top-Right
IM-0001-0001.jpeg,0,NORMAL,DenseNet-121,0.0003,0,NORMAL,1,0.6418,0.3233,0.9592,48,144,Top-Right
IM-0001-0001.jpeg,0,NORMAL,ViT-Tiny,0.0043,0,NORMAL,1,0.8284,0.9745,0.0636,88,56,Top-Left
IM-0003-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.5347,0.9299,0.8794,48,112,Top-Right
IM-0003-0001.jpeg,0,NORMAL,DenseNet-121,0.0005,0,NORMAL,1,0.6069,0.6237,0.9585,48,112,Top-Right
IM-0003-0001.jpeg,0,NORMAL,ViT-Tiny,0.0049,0,NORMAL,1,0.8586,0.9792,0.0304,0,151,Top-Right
IM-0005-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.5791,0.5771,0.8333,175,80,Bottom-Left
IM-0005-0001.jpeg,0,NORMAL,DenseNet-121,0.0002,0,NORMAL,1,0.5653,0.387,0.9477,48,47,Top-Left
IM-0005-0001.jpeg,0,NORMAL,ViT-Tiny,0.0007,0,NORMAL,1,0.9438,0.9739,0.1819,72,0,Top-Left
IM-0006-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.484,0.1365,0.9037,144,80,Bottom-Left
IM-0006-0001.jpeg,0,NORMAL,DenseNet-121,0.0007,0,NORMAL,1,0.6369,0.6238,0.9097,79,176,Top-Right
IM-0006-0001.jpeg,0,NORMAL,ViT-Tiny,0.0003,0,NORMAL,1,0.962,0.9251,0.0719,24,183,Top-Right
IM-0007-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.6038,0.2039,0.9235,79,111,Top-Left
IM-0007-0001.jpeg,0,NORMAL,DenseNet-121,0.0003,0,NORMAL,1,0.602,0.6162,0.9595,48,144,Top-Right
IM-0007-0001.jpeg,0,NORMAL,ViT-Tiny,0.0003,0,NORMAL,1,0.8185,0.9607,0.2195,56,136,Top-Right
IM-0009-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.7166,0.986,0.9215,48,112,Top-Right
IM-0009-0001.jpeg,0,NORMAL,DenseNet-121,0.0003,0,NORMAL,1,0.7353,0.8899,0.9529,47,111,Top-Left
IM-0009-0001.jpeg,0,NORMAL,ViT-Tiny,0.0004,0,NORMAL,1,0.8585,0.9721,0.0561,88,56,Top-Left
IM-0010-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.5503,0.7101,0.859,80,112,Top-Right
IM-0010-0001.jpeg,0,NORMAL,DenseNet-121,0.0005,0,NORMAL,1,0.6611,0.6674,0.9094,80,47,Top-Left
IM-0010-0001.jpeg,0,NORMAL,ViT-Tiny,0.0014,0,NORMAL,1,0.9072,0.9679,0.0348,39,39,Top-Left
IM-0011-0001-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.5895,0.1845,0.8947,111,80,Top-Left
IM-0011-0001-0001.jpeg,0,NORMAL,DenseNet-121,0.0005,0,NORMAL,1,0.7839,0.3771,0.9831,79,47,Top-Left
IM-0011-0001-0001.jpeg,0,NORMAL,ViT-Tiny,0.0859,0,NORMAL,1,0.9119,0.8971,0.0252,88,56,Top-Left
IM-0011-0001-0002.jpeg,0,NORMAL,ResNet-18,0.0076,0,NORMAL,1,0.6429,0.9327,0.8528,111,79,Top-Left
IM-0011-0001-0002.jpeg,0,NORMAL,DenseNet-121,0.0178,0,NORMAL,1,0.6785,0.9179,0.857,48,48,Top-Left
IM-0011-0001-0002.jpeg,0,NORMAL,ViT-Tiny,0.1201,0,NORMAL,1,0.9526,0.8731,0.0533,167,152,Bottom-Right
IM-0011-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.698,0.8683,0.8581,79,111,Top-Left
IM-0011-0001.jpeg,0,NORMAL,DenseNet-121,0.0012,0,NORMAL,1,0.5277,0.8307,0.919,79,48,Top-Left
IM-0011-0001.jpeg,0,NORMAL,ViT-Tiny,0.0075,0,NORMAL,1,0.8377,0.9299,0.2404,87,71,Top-Left
IM-0013-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.5919,0.2724,0.9358,79,112,Top-Right
IM-0013-0001.jpeg,0,NORMAL,DenseNet-121,0.0,0,NORMAL,1,0.4895,0.1309,0.9478,79,144,Top-Right
IM-0013-0001.jpeg,0,NORMAL,ViT-Tiny,0.0005,0,NORMAL,1,0.8818,0.9837,0.0,23,72,Top-Left
IM-0015-0001.jpeg,0,NORMAL,ResNet-18,0.0149,0,NORMAL,1,0.7953,0.8953,0.7883,176,80,Bottom-Left
IM-0015-0001.jpeg,0,NORMAL,DenseNet-121,0.1657,0,NORMAL,1,0.7643,0.7989,0.8546,176,79,Bottom-Left
IM-0015-0001.jpeg,0,NORMAL,ViT-Tiny,0.6526,1,PNEUMONIA,0,0.9681,0.3423,0.0,184,0,Bottom-Left
IM-0016-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.6283,0.979,0.9053,80,111,Top-Left
IM-0016-0001.jpeg,0,NORMAL,DenseNet-121,0.0005,0,NORMAL,1,0.5739,0.3562,0.9356,48,79,Top-Left
IM-0016-0001.jpeg,0,NORMAL,ViT-Tiny,0.0074,0,NORMAL,1,0.9146,0.9287,0.1731,119,200,Bottom-Right
IM-0017-0001.jpeg,0,NORMAL,ResNet-18,0.0,0,NORMAL,1,0.4707,0.4407,0.8454,175,111,Bottom-Left
IM-0017-0001.jpeg,0,NORMAL,DenseNet-121,0.0001,0,NORMAL,1,0.7575,0.0797,0.8013,48,47,Top-Left
IM-0017-0001.jpeg,0,NORMAL,ViT-Tiny,0.0002,0,NORMAL,1,0.8752,0.7691,0.1817,167,168,Bottom-Right
IM-0019-0001.jpeg,0,NORMAL,ResNet-18,0.0686,0,NORMAL,1,0.7347,0.856,0.857,79,111,Top-Left
IM-0019-0001.jpeg,0,NORMAL,DenseNet-121,0.0268,0,NORMAL,1,0.6073,0.9457,0.9571,48,175,Top-Right
IM-0019-0001.jpeg,0,NORMAL,ViT-Tiny,0.0493,0,NORMAL,1,0.8299,0.9272,0.0851,55,136,Top-Right
IM-0021-0001.jpeg,0,NORMAL,ResNet-18,0.0002,0,NORMAL,1,0.6101,0.182,0.8526,112,79,Bottom-Left
IM-0021-0001.jpeg,0,NORMAL,DenseNet-121,0.0005,0,NORMAL,1,0.5668,0.5542,0.9328,79,48,Top-Left
IM-0021-0001.jpeg,0,NORMAL,ViT-Tiny,0.0004,0,NORMAL,1,0.9328,0.6913,0.0151,24,184,Top-Right
IM-0022-0001.jpeg,0,NORMAL,ResNet-18,0.9984,1,PNEUMONIA,0,0.615,0.655,0.7755,47,143,Top-Right
IM-0022-0001.jpeg,0,NORMAL,DenseNet-121,0.9981,1,PNEUMONIA,0,0.6918,0.0053,0.8328,143,111,Bottom-Left
IM-0022-0001.jpeg,0,NORMAL,ViT-Tiny,0.9986,1,PNEUMONIA,0,0.903,0.0746,0.0188,183,72,Bottom-Left
IM-0023-0001.jpeg,0,NORMAL,ResNet-18,0.0001,0,NORMAL,1,0.6935,0.73,0.8747,144,80,Bottom-Left
IM-0023-0001.jpeg,0,NORMAL,DenseNet-121,0.0025,0,NORMAL,1,0.7885,0.464,0.8539,79,47,Top-Left
